combo,window,meta_threshold,primary_long,primary_short,require_meta_for_trade,max_trades_per_day,trades_count,total_pnl_usd,max_drawdown_usd,profit_factor,win_rate,avg_trade_usd,passes_constraints
m0.35_L0.28_S0.53_rm1,ytd_2026_jan_apr,0.35,0.28,0.53,True,,16,3392.948226270162,49.9800000000032,68.88611897299243,0.9375,212.05926414188514,True
m0.35_L0.28_S0.58_rm1,ytd_2026_jan_apr,0.35,0.28,0.58,True,,14,3303.069137436475,49.9800000000032,67.08781787587985,0.9285714285714286,235.93350981689107,True
m0.35_L0.28_S0.63_rm1,ytd_2026_jan_apr,0.35,0.28,0.63,True,,14,3250.6118113946804,49.9800000000032,66.038251528505,0.9285714285714286,232.1865579567629,True
m0.35_L0.31_S0.53_rm1,ytd_2026_jan_apr,0.35,0.31,0.53,True,,15,3009.4296512117876,49.9800000000032,61.21267809547394,0.9333333333333333,200.62864341411918,True
m0.35_L0.31_S0.58_rm1,ytd_2026_jan_apr,0.35,0.31,0.58,True,,14,3338.069137436475,49.9800000000032,67.78809798792467,0.9285714285714286,238.43350981689107,True
m0.35_L0.31_S0.63_rm1,ytd_2026_jan_apr,0.35,0.31,0.63,True,,13,3013.430547126192,49.9800000000032,61.292728033737326,0.9230769230769231,231.80234977893784,True
m0.35_L0.48_S0.53_rm1,ytd_2026_jan_apr,0.35,0.48,0.53,True,,11,3176.9972965565016,49.9800000000032,64.56537207996202,0.9090909090909091,288.8179360505911,True
m0.35_L0.48_S0.58_rm1,ytd_2026_jan_apr,0.35,0.48,0.58,True,,11,3022.3169929901273,49.9800000000032,61.470528071030955,0.9090909090909091,274.75609027182975,True
m0.35_L0.48_S0.63_rm1,ytd_2026_jan_apr,0.35,0.48,0.63,True,,13,3236.0124684892903,49.9800000000032,40.2434206704983,0.8461538461538461,248.9240360376377,True
m0.45_L0.28_S0.53_rm1,ytd_2026_jan_apr,0.45,0.28,0.53,True,,16,3392.948226270162,49.9800000000032,68.88611897299243,0.9375,212.05926414188514,True
m0.45_L0.28_S0.58_rm1,ytd_2026_jan_apr,0.45,0.28,0.58,True,,14,3303.069137436475,49.9800000000032,67.08781787587985,0.9285714285714286,235.93350981689107,True
m0.45_L0.28_S0.63_rm1,ytd_2026_jan_apr,0.45,0.28,0.63,True,,14,3250.6118113946804,49.9800000000032,66.038251528505,0.9285714285714286,232.1865579567629,True
m0.45_L0.31_S0.53_rm1,ytd_2026_jan_apr,0.45,0.31,0.53,True,,15,3009.4296512117876,49.9800000000032,61.21267809547394,0.9333333333333333,200.62864341411918,True
m0.45_L0.31_S0.58_rm1,ytd_2026_jan_apr,0.45,0.31,0.58,True,,14,3338.069137436475,49.9800000000032,67.78809798792467,0.9285714285714286,238.43350981689107,True
m0.45_L0.31_S0.63_rm1,ytd_2026_jan_apr,0.45,0.31,0.63,True,,13,3013.430547126192,49.9800000000032,61.292728033737326,0.9230769230769231,231.80234977893784,True
m0.45_L0.48_S0.53_rm1,ytd_2026_jan_apr,0.45,0.48,0.53,True,,11,3176.9972965565016,49.9800000000032,64.56537207996202,0.9090909090909091,288.8179360505911,True
m0.45_L0.48_S0.58_rm1,ytd_2026_jan_apr,0.45,0.48,0.58,True,,11,3022.3169929901273,49.9800000000032,61.470528071030955,0.9090909090909091,274.75609027182975,True
m0.45_L0.48_S0.63_rm1,ytd_2026_jan_apr,0.45,0.48,0.63,True,,13,3236.0124684892903,49.9800000000032,40.2434206704983,0.8461538461538461,248.9240360376377,True
